State,Month,Year,"No. of Wells
Analysed",0-2,2-5,5-10,10-20,20-40,40
Dadar-Nagar-Haveli,August,2015,16,50.00,37.50,12.50,0.00,0.00,0.00
Delhi,August,2015,114,14.91,14.04,21.93,25.44,15.79,7.89
Goa,August,2015,69,34.78,36.23,24.64,4.35,0.00,0.00
Gujarat,August,2015,788,13.96,26.65,32.36,19.92,6.98,0.13
Haryana,August,2015,77,14.29,22.08,20.78,24.68,14.29,3.90
Himachal Pradesh,August,2015,98,34.69,36.73,11.22,14.29,3.06,0.00
Jammu & Kashmir,August,2015,226,49.12,33.19,9.73,5.75,2.21,0.00
Jharkhand,August,2015,256,23.44,57.03,17.58,1.95,0.00,0.00
Karnataka,August,2015,1413,15.71,32.48,38.36,13.09,0.35,0.00
Kerala,August,2015,1441,21.37,34.35,35.39,8.33,0.56,0.00
Madhya Pradesh,August,2015,1342,20.42,40.46,29.06,8.87,1.19,0.00
Maharashtra,August,2015,1532,24.28,28.13,29.83,15.27,2.28,0.20
Meghalaya,August,2015,18,50.00,44.44,5.56,0.00,0.00,0.00
Odisha,August,2015,1315,54.60,38.63,6.54,0.23,0.00,0.00
Pondicherry,August,2015,4,50.00,25.00,25.00,0.00,0.00,0.00
Punjab,August,2015,210,5.71,18.57,22.38,26.67,26.19,0.48
Rajasthan,August,2015,891,15.26,16.84,16.61,17.17,15.94,18.18
Tamil Nadu,August,2015,565,8.67,25.13,42.12,19.12,3.72,1.24
Telangana,August,2015,608,10.36,25.33,32.07,24.18,7.40,0.66
Tripura,August,2015,28,57.14,42.86,0.00,0.00,0.00,0.00
Uttar Pradesh,August,2015,821,17.05,32.76,32.28,15.23,2.68,0.00
Uttaranchal,August,2015,46,17.39,26.09,34.78,17.39,4.35,0.00
West Bengal,August,2015,962,39.60,30.04,14.76,13.41,2.18,0.00
Andaman and Nicobar Islands,November,2015,106,85.85,14.15,0.00,0.00,0.00,0.00
Andhra Pradesh,November,2015,762,37.40,34.12,21.52,6.69,0.13,0.13
Arunachal Pradesh,November,2015,14,14.29,64.29,21.43,0.00,0.00,0.00
Assam,November,2015,182,41.76,50.00,6.59,1.65,0.00,0.00
Bihar,November,2015,619,8.89,59.77,29.24,2.10,0.00,0.00
Chandigarh,November,2015,11,0.00,27.27,18.18,45.45,9.09,0.00
Chhattisgarh,November,2015,510,16.86,48.63,27.65,6.86,0.00,0.00
Dadar-Nagar-Haveli,November,2015,15,26.67,46.67,26.67,0.00,0.00,0.00
Daman & Diu,November,2015,13,23.08,69.23,7.69,0.00,0.00,0.00
Delhi,November,2015,116,6.90,18.10,24.14,26.72,15.52,8.62
Goa,November,2015,69,24.64,39.13,27.54,8.70,0.00,0.00
Gujarat,November,2015,853,10.32,27.08,33.53,22.27,6.57,0.23
Haryana,November,2015,683,10.40,18.59,22.11,24.74,20.64,3.51
Himachal Pradesh,November,2015,95,18.95,44.21,16.84,16.84,3.16,0.00
Jammu & Kashmir,November,2015,220,27.73,49.55,13.64,6.36,2.73,0.00
Jharkhand,November,2015,239,2.51,44.35,49.79,3.35,0.00,0.00
Karnataka,November,2015,1466,20.80,32.33,33.29,12.62,0.89,0.07
Kerala,November,2015,1454,21.73,32.67,36.66,8.46,0.48,0.00
Madhya Pradesh,November,2015,1355,6.42,32.92,40.37,17.93,2.36,0.00
Maharashtra,November,2015,1593,13.75,37.85,31.95,14.25,2.07,0.13
Meghalaya,November,2015,15,40.00,46.67,13.33,0.00,0.00,0.00
Odisha,November,2015,1316,23.02,61.85,14.74,0.38,0.00,0.00
Pondicherry,November,2015,7,71.43,28.57,0.00,0.00,0.00,0.00
Punjab,November,2015,633,3.48,12.80,20.85,30.17,32.70,0.00
Rajasthan,November,2015,900,5.78,18.22,20.22,20.11,16.33,19.33
Tamil Nadu,November,2015,597,33.50,25.63,25.46,11.73,2.85,0.84
Telangana,November,2015,599,7.35,25.38,35.39,26.04,5.18,0.67
Tripura,November,2015,28,57.14,42.86,0.00,0.00,0.00,0.00
Uttar Pradesh,November,2015,826,7.02,33.54,36.20,20.46,2.78,0.00
Uttaranchal,November,2015,41,19.51,36.59,34.15,9.76,0.00,0.00
West Bengal,November,2015,983,9.16,45.37,24.82,16.79,3.87,0.00
Andhra Pradesh,January,2016,775,28.26,43.10,22.19,6.06,0.26,0.13
Arunachal Pradesh,January,2016,14,7.14,57.14,28.57,7.14,0.00,0.00
Assam,January,2016,197,21.83,64.47,11.17,2.54,0.00,0.00
Bihar,January,2016,604,3.48,55.13,39.24,2.15,0.00,0.00
Chandigarh,January,2016,14,0.00,21.43,28.57,21.43,28.57,0.00
Chhattisgarh,January,2016,586,1.71,31.23,52.39,13.82,0.68,0.17
Dadar-Nagar-Haveli,January,2016,16,0.00,62.50,37.50,0.00,0.00,0.00
Daman & Diu,January,2016,13,0.00,46.15,53.85,0.00,0.00,0.00
Delhi,January,2016,115,6.09,18.26,25.22,26.96,15.65,7.83
Goa,January,2016,68,13.24,44.12,30.88,11.76,0.00,0.00
Gujarat,January,2016,874,4.46,24.49,35.13,27.23,8.24,0.46
Haryana,January,2016,106,9.43,22.64,30.19,24.53,11.32,1.89
Himachal Pradesh,January,2016,95,9.47,46.32,21.05,18.95,4.21,0.00
Jharkhand,January,2016,219,0.46,30.14,62.56,6.85,0.00,0.00
Jammu & Kashmir,January,2016,205,20.98,51.22,18.54,5.85,3.41,0.00
Karnataka,January,2016,1392,11.71,33.48,39.58,14.08,1.15,0.00
Kerala,January,2016,1439,12.93,29.95,44.54,11.81,0.76,0.00
Madhya Pradesh,January,2016,1348,2.82,19.66,43.62,28.64,5.27,0.00
Maharashtra,January,2016,1633,6.12,27.01,40.97,22.84,2.94,0.12
Meghalaya,January,2016,18,33.33,50.00,16.67,0.00,0.00,0.00
Nagaland,January,2016,10,0.00,60.00,40.00,0.00,0.00,0.00
Odisha,January,2016,1267,13.50,60.69,24.78,1.03,0.00,0.00
Pondicherry,January,2016,7,57.14,42.86,0.00,0.00,0.00,0.00
Punjab,January,2016,247,5.26,17.81,21.86,29.15,25.91,0.00
Rajasthan,January,2016,892,3.92,14.35,21.86,23.43,17.49,18.95
Tamil Nadu,January,2016,461,31.24,33.41,26.03,5.21,2.82,1.30
Telangana,January,2016,590,3.39,20.17,37.29,31.36,7.12,0.68
Tripura,January,2016,18,16.67,61.11,22.22,0.00,0.00,0.00
Uttar Pradesh,January,2016,778,3.21,32.52,40.10,20.95,3.21,0.00
Uttaranchal,January,2016,45,8.89,35.56,24.44,26.67,4.44,0.00
West Bengal,January,2016,928,5.06,36.10,33.73,21.23,3.88,0.00
Andaman and Nicobar Islands,May,2016,93,37,58,4.3,1.1,0,0
Andhra Pradesh,May,2016,775,10.58,42.97,33.9,11.74,0.65,0.13
Arunachal Pradesh,May,2016,15,13.33,53.33,20.00,13.33,0.00,0.00
Assam,May,2016,187,13.90,58.82,24.06,3.21,0.00,0.00
Bihar,May,2016,623,1.28,37.40,56.66,4.65,0.00,0.00
Chandigarh,May,2016,12,0.00,16.67,33.33,25.00,25.00,0.00
Chhattisgarh,May,2016,623,1.28,15.25,54.25,25.84,3.05,0.32
Dadar-Nagar-Haveli,May,2016,16,0.00,18.75,43.75,37.50,0.00,0.00
Daman & Diu,May,2016,12,0.00,8.33,83.33,8.33,0.00,0.00
Delhi,May,2016,116,1.72,20.69,25.86,26.72,16.38,8.62
Goa,May,2016,71,0.00,40.85,47.89,11.27,0.00,0.00
Gujarat,May,2016,822,2.55,14.96,33.70,37.47,10.22,1.09
Haryana,May,2016,939,3.19,19.38,20.87,25.67,24.17,6.71
Himachal Pradesh,May,2016,96,5.21,39.58,27.08,19.79,8.33,0.00
Jammu & Kashmir,May,2016,225,12.89,52.44,23.56,6.67,4.44,0.00
Jharkhand,May,2016,230,0.00,11.30,73.91,14.78,0.00,0.00
Karnataka,May,2016,1409,5.11,20.79,44.50,27.47,1.92,0.21
Kerala,May,2016,1308,7.11,27.91,46.25,17.43,1.30,0.00
Madhya Pradesh,May,2016,1360,0.44,10.51,45.37,37.35,5.44,0.88
Maharashtra,May,2016,1581,1.96,13.22,45.03,35.36,4.05,0.38
Meghalaya,May,2016,17,17.65,70.59,11.76,0.00,0.00,0.00
Nagaland,May,2016,17,0.00,35.29,52.94,11.76,0.00,0.00
Odisha,May,2016,1114,7.36,38.15,50.72,3.77,0.00,0.00
Pondicherry,May,2016,6,16.67,83.33,0.00,0.00,0.00,0.00
Punjab,May,2016,726,2.62,11.16,21.49,32.64,30.99,1.10
Rajasthan,May,2016,859,1.51,8.73,22.82,29.57,18.28,19.09
Tamil Nadu,May,2016,591,9.48,32.66,39.26,15.23,2.88,0.51
Telangana,May,2016,399,1.25,10.53,36.09,38.10,12.03,2.01
Tripura,May,2016,28,32.14,42.86,25.00,0.00,0.00,0.00
Uttar Pradesh,May,2016,635,1.26,25.20,47.40,22.99,3.15,0.00
Uttaranchal,May,2016,44,2.27,38.64,27.27,29.55,2.27,0.00
West Bengal,May,2016,907,3.75,23.93,39.91,27.23,5.18,0.00
Andhra Pradesh,August,2016,784,30.10,35.46,26.0,7.27,0.77,0.38
Arunachal Pradesh,August,2016,10,60.00,30.00,10.00,0.00,0.00,0.00
Assam,August,2016,154,57.79,35.71,5.19,1.30,0.00,0.00
Bihar,August,2016,578,32.70,52.42,14.53,0.35,0.00,0.00
Chandigarh,August,2016,13,0.00,23.08,15.38,30.77,30.77,0.00
Chhattisgarh,August,2016,623,34.51,46.39,14.77,3.85,0.48,0.00
Dadar-Nagar-Haveli,August,2016,16,62.50,25.00,12.50,0.00,0.00,0.00
Daman & Diu,August,2016,13,53.85,38.46,7.69,0.00,0.00,0.00
Delhi,August,2016,113,12.39,15.04,23.01,23.89,16.81,8.85
Goa,August,2016,58,41.38,37.93,18.97,1.72,0.00,0.00
Gujarat,August,2016,858,17.83,31.70,26.69,17.72,5.48,0.58
Haryana,August,2016,126,10.32,21.43,30.95,23.81,11.11,2.38
Himachal Pradesh,August,2016,99,30.30,39.39,13.13,11.11,6.06,0.00
Jammu & Kashmir,August,2016,228,42.11,38.60,12.28,3.95,3.07,0.00
Jharkhand,August,2016,226,33.19,47.79,17.70,1.33,0.00,0.00
Karnataka,August,2016,1409,19.02,35.27,31.87,12.85,0.99,0.00
Kerala,August,2016,1454,20.15,31.02,39.00,9.08,0.76,0.00
Madhya Pradesh,August,2016,1337,41.96,35.68,15.03,5.68,1.57,0.07
Maharashtra,August,2016,1615,28.85,34.06,25.82,9.60,1.49,0.19
Meghalaya,August,2016,19,42.11,57.89,0.00,0.00,0.00,0.00
Nagaland,August,2016,15,26.67,60.00,0.00,6.67,6.67,0.00
Odisha,August,2016,1265,52.73,39.45,7.59,0.24,0.00,0.00
Pondicherry,August,2016,6,16.67,66.67,16.67,0.00,0.00,0.00
Punjab,August,2016,240,6.67,20.00,21.25,26.67,25.00,0.42
Rajasthan,August,2016,926,20.19,14.69,14.79,16.95,16.41,16.95
Tamil Nadu,August,2016,614,5.21,29.48,42.51,18.08,3.09,1.63
Telangana,August,2016,605,13.39,26.45,30.91,20.17,7.77,1.32
Tripura,August,2016,25,52.00,44.00,4.00,0.00,0.00,0.00
Uttar Pradesh,August,2016,776,25.90,28.87,25.90,16.75,2.32,0.26
Uttarakhand,August,2016,34,17.65,38.24,29.41,8.82,2.94,2.94
Andaman and Nicobar Islands,November,2016,107,85.05,14.02,0.9,0.00,0.00,0.00
Andhra Pradesh,November,2016,775,33.81,37.29,21.2,6.97,0.52,0.39
Arunachal Pradesh,November,2016,10,20.00,50.00,30.00,0.00,0.00,0.00
Assam,November,2016,165,32.73,56.36,8.48,2.42,0.00,0.00
Bihar,November,2016,588,18.03,66.50,14.63,0.85,0.00,0.00
Chandigarh,November,2016,9,0.00,11.11,44.44,22.22,22.22,0.00
Chhattisgarh,November,2016,599,11.02,57.93,25.21,5.68,0.17,0.00
Dadar-Nagar-Haveli,November,2016,16,43.75,43.75,12.50,0.00,0.00,0.00
Daman & Diu,November,2016,12,25.00,50.00,25.00,0.00,0.00,0.00
Delhi,November,2016,113,6.19,17.70,24.78,25.66,16.81,8.85
Goa,November,2016,69,27.54,37.68,27.54,7.25,0.00,0.00
Gujarat,November,2016,852,11.38,31.57,32.51,19.25,4.81,0.47
Haryana,November,2016,310,10.97,18.06,23.55,25.16,18.71,3.55
Himachal Pradesh,November,2016,99,19.19,35.35,25.25,14.14,6.06,0.00
Jammu & Kashmir,November,2016,229,25.33,47.16,20.09,3.93,3.49,0.00
Jharkhand,November,2016,218,8.26,59.63,29.82,2.29,0.00,0.00
Karnataka,November,2016,1429,13.44,31.91,38.07,15.68,0.91,0.00
Kerala,November,2016,1416,14.83,28.74,42.44,13.28,0.71,0.00
Madhya Pradesh,November,2016,1344,11.01,42.19,34.52,9.90,2.38,0.00
Maharashtra,November,2016,1656,20.83,44.26,26.03,7.49,1.27,0.12
Meghalaya,November,2016,18,38.89,61.11,0.00,0.00,0.00,0.00
Odisha,November,2016,1219,25.68,61.85,12.14,0.33,0.00,0.00
Pondicherry,November,2016,4,50.00,25.00,25.00,0.00,0.00,0.00
Punjab,November,2016,784,2.68,12.88,20.28,28.57,34.31,1.28
Rajasthan,November,2016,926,13.82,16.09,16.41,19.22,16.09,18.36
Tamil Nadu,November,2016,593,8.09,25.30,36.93,24.62,4.05,1.01
Telangana,November,2016,611,18.33,38.95,24.71,12.93,4.58,0.33
Tripura,November,2016,25,44.00,52.00,4.00,0.00,0.00,0.00
Uttar Pradesh,November,2016,812,16.87,34.61,28.69,16.50,3.08,0.25
Uttarakhand,November,2016,47,4.26,38.30,38.30,14.89,4.26,0.00
West Bengal,November,2016,511,20.16,50.10,18.00,10.57,1.17,0.00
Andhra Pradesh,January,2017,777,20.98,43.37,26.6,7.85,0.77,0.39
Arunachal Pradesh,January,2017,14,14.29,42.86,35.71,7.14,0.00,0.00
Assam,January,2017,183,14.75,65.03,17.49,2.73,0.00,0.00
Bihar,January,2017,626,9.74,62.78,26.52,0.96,0.00,0.00
Chandigarh,January,2017,12,0.00,25.00,16.67,25.00,25.00,8.33
Chhattisgarh,January,2017,658,2.58,36.32,50.30,8.97,1.67,0.15
Dadar-Nagar-Haveli,January,2017,13,7.69,61.54,30.77,0.00,0.00,0.00
Daman & Diu,January,2017,11,9.09,45.45,45.45,0.00,0.00,0.00
Delhi,January,2017,108,7.41,16.67,24.07,26.85,15.74,9.26
Goa,January,2017,60,15.00,41.67,35.00,8.33,0.00,0.00
Gujarat,January,2017,833,5.88,25.33,37.94,23.05,7.32,0.48
Haryana,January,2017,240,2.50,10.83,17.50,24.58,31.67,12.92
Himachal Pradesh,January,2017,88,18.18,40.91,21.59,12.50,6.82,0.00
Jammu & Kashmir,January,2017,231,17.75,47.19,25.11,6.06,3.90,0.00
Jharkhand,January,2017,158,3.80,43.67,46.84,5.70,0.00,0.00
Karnataka,January,2017,1426,7.43,28.68,41.02,21.67,1.19,0.00
Kerala,January,2017,1465,8.12,28.74,44.37,16.93,1.84,0.00
Madhya Pradesh,January,2017,1332,3.53,27.55,44.89,20.95,2.78,0.30
Maharashtra,January,2017,1665,8.05,38.26,39.88,12.19,1.50,0.12
Meghalaya,January,2017,6,33.33,66.67,0.00,0.00,0.00,0.00
Nagaland,January,2017,4,25.00,50.00,25.00,0.00,0.00,0.00
Odisha,January,2017,1175,11.23,62.04,25.45,1.28,0.00,0.00
Pondicherry,January,2017,4,25.00,50.00,25.00,0.00,0.00,0.00
Punjab,January,2017,777,2.06,12.23,23.29,28.44,33.08,0.90
Rajasthan,January,2017,1002,12.57,14.17,17.66,18.36,16.57,20.66
Tamil Nadu,January,2017,619,5.17,25.69,37.64,26.01,4.04,1.45
Telangana,January,2017,599,7.68,34.72,35.56,17.20,4.01,0.83
Tripura,January,2017,9,33.33,44.44,22.22,0.00,0.00,0.00
Uttar Pradesh,January,2017,790,6.33,38.48,34.18,17.47,3.42,0.13
Uttarakhand,January,2017,38,5.26,36.84,26.32,28.95,2.63,0.00
West Bengal,January,2017,653,6.58,47.47,30.78,12.40,2.76,0.00
Andaman and Nicobar Islands,May,2017,81,47,47,6.2,0.0,0,0
Andhra Pradesh,May,2017,751,6.13,37.02,40.6,15.31,0.53,0.40
Arunachal Pradesh,May,2017,12,25.00,41.67,16.67,16.67,0.00,0.00
Assam,May,2017,165,13.33,60.00,25.45,1.21,0.00,0.00
Bihar,May,2017,660,2.88,46.21,46.82,4.09,0.00,0.00
Chandigarh,May,2017,10,0.00,20.00,30.00,20.00,20.00,10.00
Chhattisgarh,May,2017,634,1.89,19.24,55.05,19.87,3.47,0.47
Dadar-Nagar-Haveli,May,2017,18,0.00,16.67,50.00,33.33,0.00,0.00
Daman & Diu,May,2017,12,0.00,16.67,75.00,8.33,0.00,0.00
Delhi,May,2017,94,2.13,18.09,22.34,25.53,18.09,13.83
Goa,May,2017,65,15.38,44.62,32.31,7.69,0.00,0.00
Gujarat,May,2017,802,2.74,15.21,33.67,35.91,11.60,0.87
Haryana,May,2017,304,3.95,21.38,26.97,25.33,18.75,3.62
Himachal Pradesh,May,2017,90,7.78,35.56,33.33,17.78,5.56,0.00
Jammu & Kashmir,May,2017,230,8.70,53.04,24.78,9.13,4.35,0.00
Jharkhand,May,2017,227,0.88,9.69,70.04,19.38,0.00,0.00
Karnataka,May,2017,1439,4.59,18.97,43.09,31.55,1.81,0.00
Kerala,May,2017,1396,5.73,28.22,42.41,21.56,1.93,0.14
Madhya Pradesh,May,2017,1355,0.44,12.10,49.23,33.36,4.80,0.07
Maharashtra,May,2017,1663,3.43,15.94,47.02,30.07,3.43,0.12
Meghalaya,May,2017,21,19.05,71.43,9.52,0.00,0.00,0.00
Nagaland,May,2017,3,0.00,66.67,33.33,0.00,0.00,0.00
Odisha,May,2017,1317,7.44,34.47,53.99,4.10,0.00,0.00
Pondicherry,May,2017,5,0.00,80.00,20.00,0.00,0.00,0.00
Punjab,May,2017,236,3.39,14.41,26.69,28.39,25.85,1.27
Rajasthan,May,2017,903,1.66,11.96,23.92,24.81,18.38,19.27
Tamil Nadu,May,2017,540,2.22,18.15,38.89,33.15,6.11,1.48
Telangana,May,2017,596,1.68,17.79,42.11,29.19,7.38,1.85
Tripura,May,2017,28,25.00,42.86,32.14,0.00,0.00,0.00
Uttar Pradesh,May,2017,659,1.97,27.01,45.37,21.85,3.64,0.15
Uttarakhand,May,2017,47,4.26,23.40,42.55,25.53,4.26,0.00
West Bengal,May,2017,715,4.62,29.51,42.80,19.58,3.50,0.00
Andhra Pradesh,August,2017,745,31,31,26,11,1,0
Arunachal Pradesh,August,2017,14,57,43,0,0,0,0
Assam,August,2017,159,47,37,13,3,0,0
Bihar,August,2017,652,38,50,11,0,0,0
Chandigarh,August,2017,12,0,25,17,25,25,8
Chhattisgarh,August,2017,697,32,50,15,3,0,0
Dadar-Nagar-Haveli,August,2017,19,58,32,11,0,0,0
Daman & Diu,August,2017,12,33,50,17,0,0,0
Delhi,August,2017,92,8,16,24,27,15,10
Goa,August,2017,53,53,34,11,2,0,0
Gujarat,August,2017,689,25,35,25,10,4,1
Haryana,August,2017,94,13,22,28,21,13,3
Himachal Pradesh,August,2017,81,36,43,10,6,5,0
Jammu & Kashmir,August,2017,216,48,33,13,3,4,0
Jharkhand,August,2017,212,31,54,13,1,0,0
Karnataka,August,2017,1393,16,29,34,20,1,0
Kerala,August,2017,1444,27,32,33,8,1,0
Madhya Pradesh,August,2017,1346,21,34,32,11,2,0
Maharashtra,August,2017,1646,25,32,29,12,2,0
Meghalaya,August,2017,21,52,48,0,0,0,0
Odisha,August,2017,1312,56,36,8,0,0,0
Pondicherry,August,2017,3,0,100,0,0,0,0
Punjab,August,2017,250,6,18,22,24,28,2
Rajasthan,August,2017,915,16,17,17,16,16,18
Tamil Nadu,August,2017,529,5,19,39,28,6,2
Telangana,August,2017,582,16,27,32,20,5,1
Tripura,August,2017,24,54,38,8,0,0,0
Uttar Pradesh,August,2017,762,21,31,28,17,2,0
Uttarakhand,August,2017,41,17,27,49,5,2,0
West Bengal,August,2017,518,41,32,14,10,2,0
Andaman and Nicobar Islands,November,2017,97,90.72,8.25,1.0,0.00,0.00,0.00
Andhra Pradesh,November,2017,751,40.08,36.22,18.4,4.66,0.67,0.00
Arunachal Pradesh,November,2017,14,50.00,28.57,21.43,0.00,0.00,0.00
Assam,November,2017,171,46.20,43.86,8.19,1.75,0.00,0.00
Bihar,November,2017,633,16.59,62.40,20.70,0.32,0.00,0.00
Chandigarh,November,2017,11,0.00,27.27,9.09,27.27,27.27,9.09
Chhattisgarh,November,2017,707,10.18,57.57,26.87,4.53,0.85,0.00
Dadar-Nagar-Haveli,November,2017,18,11.11,72.22,16.67,0.00,0.00,0.00
Daman & Diu,November,2017,12,8.33,58.33,33.33,0.00,0.00,0.00
Delhi,November,2017,84,7.14,17.86,22.62,28.57,14.29,9.52
Goa,November,2017,65,23.08,44.62,26.15,6.15,0.00,0.00
Gujarat,November,2017,725,12.41,37.38,30.48,15.03,4.14,0.55
Haryana,November,2017,297,11.78,18.52,22.22,26.94,17.51,3.03
Himachal Pradesh,November,2017,98,17.35,41.84,22.45,13.27,5.10,0.00
Jammu & Kashmir,November,2017,258,21.71,53.10,16.67,5.43,2.71,0.00
Jharkhand,November,2017,238,11.34,61.34,25.21,2.10,0.00,0.00
Karnataka,November,2017,1400,22.57,36.14,29.29,11.07,0.93,0.00
Kerala,November,2017,1449,20.01,33.06,36.85,9.25,0.69,0.14
Madhya Pradesh,November,2017,1353,7.10,33.04,40.35,17.29,2.22,0.00
Maharashtra,November,2017,1681,17.55,41.28,29.39,10.11,1.55,0.12
Meghalaya,November,2017,18,33.33,66.67,0.00,0.00,0.00,0.00
Nagaland,November,2017,3,33.33,66.67,0.00,0.00,0.00,0.00
Odisha,November,2017,1321,49.58,40.80,9.31,0.30,0.00,0.00
Pondicherry,November,2017,3,33.33,66.67,0.00,0.00,0.00,0.00
Punjab,November,2017,253,5.14,19.76,22.92,25.30,25.69,1.19
Rajasthan,November,2017,999,13.81,16.72,18.02,15.72,16.72,19.02
Tamil Nadu,November,2017,582,13.75,29.90,34.02,17.01,3.95,1.37
Telangana,November,2017,582,16.49,38.32,27.49,13.92,3.26,0.52
Tripura,November,2017,25,52.00,44.00,4.00,0.00,0.00,0.00
Uttar Pradesh,November,2017,760,13.95,32.76,31.97,18.29,2.89,0.13
Uttarakhand,November,2017,55,12.73,34.55,36.36,9.09,5.45,1.82
West Bengal,November,2017,725,25.24,48.41,15.86,9.24,1.24,0.00
Andhra Pradesh,January,2018,740,25.14,46.89,21.4,5.68,0.68,2
Arunachal Pradesh,January,2018,13,15.38,38.46,38.46,7.69,0.00,0
Assam,January,2018,153,22.88,62.75,13.07,1.31,0.00,0
Bihar,January,2018,693,5.19,63.06,30.01,1.73,0.00,0
Chandigarh,January,2018,7,0.00,42.86,0.00,28.57,28.57,0
Chhattisgarh,January,2018,693,2.45,38.38,48.92,8.08,2.16,0
Dadar-Nagar-Haveli,January,2018,18,0.00,72.22,27.78,0.00,0.00,0
Daman & Diu,January,2018,12,8.33,66.67,25.00,0.00,0.00,0
Delhi,January,2018,82,8.54,14.63,28.05,23.17,15.85,8
Goa,January,2018,70,10.00,47.14,35.71,7.14,0.00,0
Gujarat,January,2018,757,10.04,28.53,35.27,19.68,5.81,0.66
Haryana,January,2018,254,5.12,22.44,21.65,28.35,18.90,3.54
Himachal Pradesh,January,2018,91,15.38,40.66,25.27,15.38,3.30,0.00
Jammu & Kashmir,January,2018,222,19.37,50.00,19.82,6.76,4.05,0.00
Jharkhand,January,2018,231,3.46,35.50,54.55,6.49,0.00,0.00
Karnataka,January,2018,1386,11.90,34.49,37.45,15.15,1.01,0.00
Kerala,January,2018,1438,10.92,30.04,43.46,14.53,0.90,0.14
Madhya Pradesh,January,2018,1365,2.49,22.42,46.08,25.79,3.22,0.00
Maharashtra,January,2018,1661,7.34,32.69,41.30,16.56,2.05,0.06
Meghalaya,January,2018,17,23.53,76.47,0.00,0.00,0.00,0.00
Odisha,January,2018,1287,21.76,54.62,22.14,1.48,0.00,0.00
Pondicherry,January,2018,4,25.00,50.00,25.00,0.00,0.00,0.00
Punjab,January,2018,207,6.28,20.29,23.19,22.71,25.60,1.93
Rajasthan,January,2018,1000,4.70,16.70,22.10,19.30,17.40,19.80
Tamil Nadu,January,2018,592,13.34,33.61,33.61,15.03,2.87,1.52
Telangana,January,2018,598,6.69,32.11,37.12,20.23,3.51,0.33
Tripura,January,2018,21,38.10,52.38,9.52,0.00,0.00,0.00
Uttar Pradesh,January,2018,745,5.77,35.30,37.45,17.99,3.36,0.13
Uttarakhand,January,2018,20,10.00,40.00,40.00,10.00,0.00,0.00
West Bengal,January,2018,693,6.49,47.47,27.42,14.86,3.75,0.00
Andaman and Nicobar Islands,May,2018,104,81,17,1.9,0.0,0,0
Andhra Pradesh,May,2018,718,8.22,44.43,34.8,11.56,0.70,0.28
Arunachal Pradesh,May,2018,8,0.00,62.50,12.50,25.00,0.00,0.00
Assam,May,2018,155,22.58,58.71,16.13,2.58,0.00,0.00
Bihar,May,2018,642,1.87,40.03,52.18,5.92,0.00,0.00
Chandigarh,May,2018,9,0.00,11.11,22.22,33.33,22.22,11.11
Chhattisgarh,May,2018,490,1.63,18.16,61.63,16.94,1.63,0.00
Dadar-Nagar-Haveli,May,2018,17,0.00,29.41,47.06,23.53,0.00,0.00
Daman & Diu,May,2018,10,0.00,20.00,70.00,10.00,0.00,0.00
Delhi,May,2018,82,1.22,19.51,19.51,29.27,19.51,10.98
Goa,May,2018,70,8.57,41.43,37.14,12.86,0.00,0.00
Gujarat,May,2018,758,1.98,16.75,33.51,34.83,12.14,0.79
Haryana,May,2018,284,2.82,19.01,27.11,27.46,20.07,3.52
Himachal Pradesh,May,2018,86,6.98,38.37,31.40,19.77,3.49,0.00
Jammu & Kashmir,May,2018,252,7.14,44.44,33.33,11.11,3.97,0.00
Jharkhand,May,2018,260,1.54,15.77,68.85,13.85,0.00,0.00
Karnataka,May,2018,1343,10.42,26.28,40.21,21.89,1.19,0.00
Kerala,May,2018,1441,6.66,29.42,43.51,18.53,1.67,0.21
Madhya Pradesh,May,2018,1330,1.20,10.83,44.14,39.47,4.29,0.08
Maharashtra,May,2018,1646,4.43,17.13,46.66,28.13,3.46,0.18
Meghalaya,May,2018,22,9.09,81.82,9.09,0.00,0.00,0.00
Odisha,May,2018,1261,11.26,42.82,42.82,3.09,0.00,0.00
Pondicherry,May,2018,5,0.00,100.00,0.00,0.00,0.00,0.00
Punjab,May,2018,225,4.00,15.11,22.22,27.11,30.22,1.33
Rajasthan,May,2018,994,2.11,10.46,22.54,25.86,18.81,20.22
Tamil Nadu,May,2018,529,5.29,26.09,40.26,22.31,3.59,2.46
Telangana,May,2018,575,3.83,18.26,39.65,30.09,7.13,1.04
Tripura,May,2018,25,28.00,48.00,24.00,0.00,0.00,0.00
Uttar Pradesh,May,2018,567,1.06,25.93,45.50,23.10,4.41,0.00
Uttaranchal,May,2018,31,0.00,29.03,35.48,22.58,6.45,6.45
West Bengal,May,2018,652,8.28,35.58,36.35,16.26,3.53,0.00
Andhra Pradesh,August,2018,722,35.5,30.2,23.3,10.1,1.0,0.0
Arunachal Pradesh,August,2018,11,18.2,54.5,27.3,0.0,0.0,0.0
Assam,August,2018,150,62.7,31.3,4.0,2.0,0.0,0.0
Bihar,August,2018,655,26.4,51.1,21.7,0.8,0.0,0.0
Chandigarh,August,2018,12,0.0,33.3,0.0,33.3,25.0,8.3
Chhattisgarh,August,2018,690,50.9,37.7,10.0,1.3,0.0,0.1
Dadar-Nagar-Haveli,August,2018,17,52.9,29.4,17.6,0.0,0.0,0.0
Daman & Diu,August,2018,9,55.6,22.2,22.2,0.0,0.0,0.0
