State,Month,Year,"No. of Wells
Analysed",0-2,2-5,5-10,10-20,20-40,40
Kerala,May,2010,638,9.09,29.94,44.20,15.83,0.94,0.00
Madhya Pradesh,May,2010,546,0.37,10.99,55.49,31.87,1.28,0.00
Maharashtra,May,2010,1044,3.16,15.90,45.50,29.98,4.31,1.15
Meghalaya,May,2010,31,29.03,51.61,19.35,0.00,0.00,0.00
Odisha,May,2010,840,6.55,34.29,53.81,5.36,0.00,0.00
Pondicherry,May,2010,6,16.67,83.33,0.00,0.00,0.00,0.00
Punjab,May,2010,178,1.69,19.66,26.40,35.96,15.17,1.12
Rajasthan,May,2010,769,0.65,4.55,17.95,32.90,24.97,18.99
Tamil Nadu,May,2010,719,5.84,30.46,36.86,20.86,4.87,1.11
Tripura,May,2010,29,10.34,65.52,24.14,0.00,0.00,0.00
Uttar Pradesh,May,2010,821,1.22,29.60,41.78,22.17,5.24,0.00
Uttaranchal,May,2010,42,2.38,33.33,30.95,26.19,4.76,2.38
West Bengal,May,2010,615,3.25,25.53,48.46,21.46,1.30,0.00
Andhra Pradesh,August,2010,641,38.85,31.83,21.53,7.33,0.47,0.00
Arunachal Pradesh,August,2010,10,30.00,70.00,0.00,0.00,0.00,0.00
Assam,August,2010,224,72.32,22.32,4.46,0.89,0.00,0.00
Bihar,August,2010,270,22.96,47.04,28.52,1.48,0.00,0.00
Chandigarh,August,2010,20,0.00,25.00,15.00,40.00,5.00,15.00
Chhattisgarh,August,2010,346,47.11,29.77,17.63,5.49,0.00,0.00
Dadar-Nagar-Haveli,August,2010,6,50.00,16.67,33.33,0.00,0.00,0.00
Delhi,August,2010,98,8.16,17.35,24.49,27.55,12.24,10.20
Gujarat,August,2010,721,33.43,27.74,20.67,11.79,5.13,1.25
Haryana,August,2010,305,12.46,18.36,24.26,27.54,16.07,1.31
Himachal Pradesh,August,2010,78,30.77,34.62,19.23,14.10,1.28,0.00
Jammu & Kashmir,August,2010,134,53.73,24.63,9.70,7.46,4.48,0.00
Jharkhand,August,2010,173,6.94,33.53,47.40,12.14,0.00,0.00
Karnataka,August,2010,822,25.18,36.74,27.74,10.10,0.24,0.00
Kerala,August,2010,682,26.39,34.75,31.38,6.16,1.32,0.00
Madhya Pradesh,August,2010,734,21.53,31.88,33.51,12.13,0.95,0.00
Maharashtra,August,2010,1038,40.46,34.20,16.67,7.23,1.35,0.10
Meghalaya,August,2010,27,51.85,44.44,3.70,0.00,0.00,0.00
Odisha,August,2010,830,49.28,36.02,13.49,1.20,0.00,0.00
Pondicherry,August,2010,4,0.00,100.00,0.00,0.00,0.00,0.00
Punjab,August,2010,150,10.67,20.00,25.33,27.33,16.67,0.00
Rajasthan,August,2010,820,5.49,12.07,18.78,25.61,20.37,17.68
